Id	Client	Count	Tot_Avg	Ok	Error	Insta_Avg
114	5	3114862	25433.6226730011	3114811	0	30657
115	5	3145395	25458.310824713066	3145251	0	30774
116	5	3173932	25461.852318204918	3173768	0	28059
117	5	3201680	25461.59316912172	3201734	0	27668
118	5	3229192	25470.188881021917	3228991	0	26756
119	5	3257189	25480.58647258382	3257131	0	30566
120	5	3288627	25497.872775668846	3288578	0	30511
121	5	3315087	25491.100263900935	3315128	0	24962
122	5	3342544	25496.01199566806	3342569	0	28426
123	5	3376868	25541.75174676635	3377058	0	33658
124	5	3406188	25559.911448124465	3406026	0	28927
125	5	3435588	25585.89281467856	3435588	0	29809
126	5	3457266	25556.464159923933	3457266	0	21756
127	5	3484692	25568.262486893178	3484642	0	27903
128	5	3513770	25587.684693241765	3513770	0	28601
129	5	3535493	25556.295809732866	3535603	0	21880
130	5	3566359	25585.30758586547	3566348	0	30700
131	5	3593669	25596.7062366891	3593583	0	27609
132	5	3621128	25589.97000220924	3620869	0	28103
133	5	3652296	25614.888803852602	3652302	0	30697
134	5	3679008	25617.123091227324	3678970	0	26507
135	5	3706354	25616.980226755113	3706735	0	28719
136	5	3738083	25641.125894261568	3738030	0	30107
137	5	3763029	25634.370506185744	3762751	0	24401
138	5	3794916	25672.051167674956	3794936	0	32532
139	5	3820236	25665.571974475326	3820250	0	25654
140	5	3845711	25658.39170055317	3845742	0	25272
141	5	3875364	25666.347561828316	3875318	0	30139
142	5	3906580	25683.93710881121	3906482	0	30637
143	5	3932469	25677.4879865138	3932519	0	26329
144	5	3959631	25679.610173650617	3959730	0	26735
145	5	3987007	25688.538938338042	3987015	0	27240
146	5	4011674	25674.518884448782	4012079	0	25973
147	5	4041571	25688.180559967583	4041084	0	28930
148	5	4069222	25686.752042777593	4069400	0	28421
149	5	4098143	25690.010835502966	4098006	0	28003
150	5	4125330	25668.621249961983	4125366	0	27724
151	5	4160737	25705.385124339977	4160728	0	34675
152	5	4185778	25697.08608319834	4185530	0	25212
153	5	4216287	25713.68565877104	4216201	0	30332
154	5	4239719	25698.436763526573	4239580	0	23678
155	5	4267611	25699.984789979313	4267468	0	27360
156	5	4292515	25685.77334462127	4292426	0	25146
157	5	4324651	25718.98680233559	4324427	0	33410
158	5	4355704	25731.846369492483	4355814	0	30359
159	5	4382429	25736.220972559273	4382420	0	26199
160	5	4407910	25730.43486052439	4407910	0	26149
161	5	4443287	25752.12054696034	4443336	0	35924
162	5	4475216	25767.10006909913	4475133	0	30652
163	5	4496483	25739.69031346104	4496322	0	21881
164	5	4528955	25760.261318691515	4529236	0	32806
165	5	4559744	25782.098929273776	4559589	0	29971
166	5	4586104	25774.46637161473	4586328	0	27465
167	5	4620999	25807.201809223185	4621158	0	34061
168	5	4649068	25818.184859431563	4649034	0	27552
169	5	4670715	25790.517945840296	4670736	0	22895
170	5	4701841	25807.53460918675	4701928	0	30563
171	5	4729629	25808.06520556277	4729729	0	28797
172	5	4760740	25826.567444700187	4760664	0	30407
173	5	4789134	25828.490366223778	4789116	0	27543
174	5	4814988	25814.33146738231	4815337	0	26481
175	5	4847863	25831.59533061324	4848069	0	32845
176	5	4877868	25836.68239842576	4877734	0	29316
177	5	4911090	25864.436183003727	4910990	0	33160
178	5	4939974	25873.845546407898	4939893	0	29642
179	5	4968495	25878.573371800925	4968734	0	28556
